JOB_ID,TITLE,OPEN_DATE,CLOSE_DATE,POST_SEQ,DESCRIPTION,URL,Employer,Contact,City,State,Resume Submission Method,Approved,Posted in WCN,How to Apply,Position Type,On Campus
2285,Planetarium Assistant (Ongoing pool 2018/2019),6/22/18,6/2/19,1,"To view the details of this job posting, please see the original posting on the HR website at the link provided.

How To Apply:
	Click the grey Apply button at the top of the page and follow the links in the popup tab.
		Please note, if the grey box is not clickable, you may need to upload a resume into the system first.",https://careers.cwu.edu/psc/careers/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=2285&PostingSeq=1,CWU On-Campus Employment,Career Services Representative,Ellensburg,WA,Other (enter below),Yes,11/07/2018,"This is a CWU On-Campus job. All application for these types of positions must be processed through the CWU HR website. You may apply by using thedirect jobpost link below or by using the general HR link below and searching for this post by title in their system.

Job Posting Direct Link: https://careers.cwu.edu/psc/careers/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=2285&PostingSeq=1

	General HR Website: https://careers.cwu.edu",Student Employment On-Campus Jobs,Yes
2286,Student LA Physics (Ongoing Pool 2018/2019),6/22/18,6/2/19,1,"To view the details of this job posting, please see the original posting on the HR website at the link provided.

How To Apply:
	Click the grey Apply button at the top of the page and follow the links in the popup tab.
		Please note, if the grey box is not clickable, you may need to upload a resume into the system first.",https://careers.cwu.edu/psc/careers/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=2286&PostingSeq=1,CWU On-Campus Employment,Career Services Representative,Ellensburg,WA,Other (enter below),Yes,11/07/2018,"This is a CWU On-Campus job. All application for these types of positions must be processed through the CWU HR website. You may apply by using thedirect jobpost link below or by using the general HR link below and searching for this post by title in their system.

Job Posting Direct Link: https://careers.cwu.edu/psc/careers/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=2286&PostingSeq=1

	General HR Website: https://careers.cwu.edu",Student Employment On-Campus Jobs,Yes
5147,**New Data 1 **,5/29/18,12/5/19,1," Job Summary</br><p><span style='font-size:12px;'><span style='font-family:arial,helvetica,sans-serif;'><strong>(Purpose):</strong></span></span></p><p><span style='font-size:12px;'><span style='font-family:arial,helvetica,sans-serif;'>Family Consumer Sciences student Ambassadors work with faculty within their own discipline to represent the department in outreach and recruiting activities.</span></span></p></br></br>Minimum Qualifications</br><p><span style='font-size:12px;'><span style='font-family:arial,helvetica,sans-serif;'><strong>(Skills Needed):</strong></span></span></p><ul>	<li><span style='font-size:12px;'><span style='font-family:arial,helvetica,sans-serif;'>Full time student at Central Washington University Ellensburg campus</span></span></li>	<li><span style='font-size:12px;'><span style='font-family:arial,helvetica,sans-serif;'>Minimum cumulative 3.0 GPA</span></span></li>	<li><span style='font-size:12px;'><span style='font-family:arial,helvetica,sans-serif;'>Strong communication and people skills</span></span></li></ul><p><span style='font-size: 12px'><strong>Preferred Qualifications</strong></span></p><ul>	<li><span style='font-size:12px;'><span style='font-family:arial,helvetica,sans-serif;'>Academic major within Family Consumer Sciences discipline</span></span></li>	<li><span style='font-size:12px;'><span style='font-family:arial,helvetica,sans-serif;'>Strong writing ability</span></span></li>	<li><span style='font-size:12px;'><span style='font-family:arial,helvetica,sans-serif;'>Basic computer skills</span></span></li>	<li><span style='font-size:12px;'><span style='font-family:arial,helvetica,sans-serif;'>Social media ability</span></span></li></ul><p><span style='font-size: 12px;'><b>Educational Benfits</b></span></p><p><span style='font-size:12px;'><span style='font-family:arial,helvetica,sans-serif;'>Student employee will gain crucial networking and marketing skills.</span></span></p></br></br>

How To Apply:
	Click the grey Apply button at the top of the page and follow the links in the popup tab.
		Please note, if the grey box is not clickable, you may need to upload a resume into the system first.",https://careers.cwu.edu/psc/careers/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=2209&PostingSeq=1,CWU On-Campus Employment,Career Services Representative,Ellensburg,WA,Other (enter below),Yes,11/07/2018,"This is a CWU On-Campus job. All application for these types of positions must be processed through the CWU HR website. You may apply by using thedirect jobpost link below or by using the general HR link below and searching for this post by title in their system.

Job Posting Direct Link: https://careers.cwu.edu/psc/careers/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=2209&PostingSeq=1

	General HR Website: https://careers.cwu.edu",Student Employment On-Campus Jobs,Yes
6599,**New Data 3 **,6/4/18,12/1/18,1," Job Summary</br><p><strong>Job Summary (Purpose):</strong></p><p>To work as part of a team to provide excellent customer service and quality food to students, staff, faculty and guests of the university.</p><p><strong>Educational Benefits:</strong></p><ul>	<li>Availability to earn money to assist with school expenses</li>	<li>Employees will learn to work in a professional environment, obtaining interpersonal skills</li>	<li>A basic foundation will be gained for those interested in pursuing a career in the hospitality industry.</li></ul></br></br>Minimum Qualifications</br><p><strong>(Skills)</strong></p><ul>	<li>Ability to take direction</li>	<li>Ability to lift up to 35 pounds from shelf to cart and/or counter</li>	<li>Basic math skills</li>	<li>Ability to stand on feet and work for an extended period of time(Shifts run from 2 &ndash; 4 hours)</li>	<li>Ability to read</li>	<li>Ability to change from one task to another in a short amount of notice</li>	<li>Ability to use knives, ovens, stoves, grills, fryers</li>	<li>Ability to work productively in and around large groups of customers while performing work duties</li>	<li>Ability to use both hands for cleaning, sorting, cutting, serving food, cooking food and portioning products</li>	<li>Must be eligible for student employment in the quarter in which you are working</li></ul><p><span style='font-size: 12px'><strong>Preferred Qualifications</strong></span></p><ul>	<li><p>Experience in a fast food or full service restaurant</p></li>	<li><p>Retail customer service experience</p></li></ul><p>&nbsp;</p></br></br>

How To Apply:
	Click the grey Apply button at the top of the page and follow the links in the popup tab.
		Please note, if the grey box is not clickable, you may need to upload a resume into the system first.",https://careers.cwu.edu/psc/careers/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=2219&PostingSeq=1,CWU On-Campus Employment,Career Services Representative,Ellensburg,WA,Other (enter below),Yes,11/07/2018,"This is a CWU On-Campus job. All application for these types of positions must be processed through the CWU HR website. You may apply by using thedirect jobpost link below or by using the general HR link below and searching for this post by title in their system.

Job Posting Direct Link: https://careers.cwu.edu/psc/careers/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=2219&PostingSeq=1

	General HR Website: https://careers.cwu.edu",Student Employment On-Campus Jobs,Yes
8475,**New Data 4 **,6/4/18,12/1/18,1," Job Summary</br><p><strong>Job Summary (Purpose):</strong></p><p>To provide clean utensils for the production of the pasta station.</p><p><strong>Educational Benefits:</strong></p><ul>	<li>This job will enforce basic geometry skills such as working with surface areas by providing practice while cleaning dishes.</li></ul><ul>	<li>This job will require the employee to practice English grammar through interaction with co-workers.</li></ul><ul>	<li>This consistent personal interaction will also augment the employee&rsquo;s knowledge of psychology and sociology.</li></ul><ul>	<li>The position&rsquo;s standing requirements could aid general fitness and the student&rsquo;s performance in physical education courses.</li></ul></br></br>Minimum Qualifications</br><p><strong>(Skills)</strong></p><ul>	<li>Pay attention to detail and follow through with oral and written instructions from managers and supervisors.</li>	<li>Must be able to scrape dishes clean before running through the three sink system.</li>	<li>Must be able to follow directions on using the three sink system correctly and in the proper order.</li>	<li>Must be able to work quickly during our fast-paced meal hours.</li>	<li>Work assigned schedule.</li>	<li>Be able to pass a background check</li>	<li>Obtain a WA state Food Handlers Permit.</li>	<li>You will not be considered for this position if you do not attach the schedule of availability document from our website http://www.cwu.edu/dining/</li>	<li><span style='font-size: 12px'>Must be eligible for student employment in the quarter in which you are working.</span></li></ul><p><span style='font-size: 12px'><strong>Preferred Qualifications</strong></span></p><ul>	<li><p>Experience washing dishes in a restaurant-style setting.</p></li></ul></br></br>

How To Apply:
	Click the grey Apply button at the top of the page and follow the links in the popup tab.
		Please note, if the grey box is not clickable, you may need to upload a resume into the system first.",https://careers.cwu.edu/psc/careers/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=2221&PostingSeq=1,CWU On-Campus Employment,Career Services Representative,Ellensburg,WA,Other (enter below),Yes,11/07/2018,"This is a CWU On-Campus job. All application for these types of positions must be processed through the CWU HR website. You may apply by using thedirect jobpost link below or by using the general HR link below and searching for this post by title in their system.

Job Posting Direct Link: https://careers.cwu.edu/psc/careers/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=2221&PostingSeq=1

	General HR Website: https://careers.cwu.edu",Student Employment On-Campus Jobs,Yes
2220,"Student Food Server, Midday/Evening/Late Night- Central Market Place (Ongoing Pool for Fall Quarter 2018)",6/4/18,12/1/18,1," Job Summary</br><p><strong>Job Summary (Purpose):</strong></p><p>To work as part of a team to provide excellent customer service and quality food to students, staff, faculty and guests of the university.</p><p><strong>Educational Benefits:</strong></p><ul>	<li>Availability to earn money to assist with school expenses</li>	<li>Employees will learn to work in a professional environment, obtaining interpersonal skills</li>	<li>A basic foundation will be gained for those interested in pursuing a career in the hospitality industry.</li></ul></br></br>Minimum Qualifications</br><p><strong>(Skills)</strong></p><ul>	<li>Ability to take direction</li>	<li>Ability to lift up to 35 pounds from shelf to cart and/or counter</li>	<li>Basic math skills</li>	<li>Ability to stand on feet and work for an extended period of time(Shifts run from 2 &ndash; 8 hours)</li>	<li>Ability to read</li>	<li>Ability to change from one task to another in a short amount of notice</li>	<li>Ability to use knives, ovens, stoves, grills, fryers</li>	<li>Ability to work productively in and around large groups of customers while performing work duties</li>	<li>Ability to use both hands for cleaning, sorting, cutting, serving food, cooking food and portioning products</li>	<li>Must be eligible for student employment in the quarter in which you are working</li></ul><p><span style='font-size: 12px'><strong>Preferred Qualifications</strong></span></p><ul>	<li><p>Experience in a fast food or full service restaurant</p></li>	<li><p>Retail customer service experience</p></li></ul><p>&nbsp;</p></br></br>

How To Apply:
	Click the grey Apply button at the top of the page and follow the links in the popup tab.
		Please note, if the grey box is not clickable, you may need to upload a resume into the system first.",https://careers.cwu.edu/psc/careers/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=2220&PostingSeq=1,CWU On-Campus Employment,Career Services Representative,Ellensburg,WA,Other (enter below),Yes,11/07/2018,"This is a CWU On-Campus job. All application for these types of positions must be processed through the CWU HR website. You may apply by using thedirect jobpost link below or by using the general HR link below and searching for this post by title in their system.

Job Posting Direct Link: https://careers.cwu.edu/psc/careers/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=2220&PostingSeq=1

	General HR Website: https://careers.cwu.edu",Student Employment On-Campus Jobs,Yes
2222,Student Busser- Central Market Place (Ongoing Pool of Applicants Fall Quarter 2018),6/4/18,12/1/18,1," Job Summary</br><p><strong>(Purpose):</strong></p><p>To work as part of a team to maintain the cleanliness and appearance of the dining facility.</p><p><strong>Educational Benefits:</strong></p><ul>	<li>This job will enforce basic geometry skills such as working with surface areas by providing practice while cleaning.</li></ul><ul>	<li>This job will require the employee to practice English grammar through interaction with co-workers.</li></ul><ul>	<li>This consistent personal interaction will also augment the employee&rsquo;s knowledge of psychology and sociology.</li></ul><ul>	<li>The position&rsquo;s standing requirements could aid general fitness and the student&rsquo;s performance in physical education courses.</li></ul></br></br>Minimum Qualifications</br><p><strong>(Skills)</strong></p><ul>	<li>Able to pay attention to detail</li>	<li>Have good customer service</li>	<li>Have good organizational skills.</li>	<li>Being able to change from task to task in a moments notice.</li>	<li>Be able to work independently and as part of a team to follow through on verbal and written directions.</li>	<li>Must be able to work with a diverse group of customers</li>	<li>Must be reliable and responsible.</li>	<li>Able to work assigned schedule.</li>	<li>Be able to pass a background check.</li>	<li>Obtain a valid WA state Food Handlers Permit.</li>	<li>Participate in Human Resources Dept required training</li>	<li>You will not be considered for this position if you do not attach the schedule of availability document from our website http://www.cwu.edu/dining/</li>	<li><span style='font-size: 12px'>Must be eligible for student employment in the quarter in which you are working.</span></li></ul><p><span style='font-size: 12px'><strong>Preferred Qualifications</strong></span></p><ul>	<li>Experience in a full service or fast food restaurant</li>	<li>Work study preferred.</li></ul></br></br>

How To Apply:
	Click the grey Apply button at the top of the page and follow the links in the popup tab.
		Please note, if the grey box is not clickable, you may need to upload a resume into the system first.",https://careers.cwu.edu/psc/careers/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=2222&PostingSeq=1,CWU On-Campus Employment,Career Services Representative,Ellensburg,WA,Other (enter below),Yes,11/07/2018,"This is a CWU On-Campus job. All application for these types of positions must be processed through the CWU HR website. You may apply by using thedirect jobpost link below or by using the general HR link below and searching for this post by title in their system.

Job Posting Direct Link: https://careers.cwu.edu/psc/careers/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=2222&PostingSeq=1

	General HR Website: https://careers.cwu.edu",Work Study,Yes
2234,Swim Lesson Instructor (Ongoing Pool of Applicants 2018-2019),6/6/18,5/31/19,1," Job Summary</br><p>(Purpose) To teach lessons in the children&rsquo;s swimming lessons program.</p><p>(Educational Benefits) Learn to work with small children, and help them develop swimming skills.</p></br></br>Minimum Qualifications</br><p>(Skills) Current <span class='caps'>WSI</span> and experience teaching swimming lessons.</p><p>(Preferred Qualifications) WSI</p><p>&nbsp;</p></br></br>

How To Apply:
	Click the grey Apply button at the top of the page and follow the links in the popup tab.
		Please note, if the grey box is not clickable, you may need to upload a resume into the system first.",https://careers.cwu.edu/psc/careers/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=2234&PostingSeq=1,CWU On-Campus Employment,Career Services Representative,Ellensburg,WA,Other (enter below),Yes,11/07/2018,"This is a CWU On-Campus job. All application for these types of positions must be processed through the CWU HR website. You may apply by using thedirect jobpost link below or by using the general HR link below and searching for this post by title in their system.

Job Posting Direct Link: https://careers.cwu.edu/psc/careers/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=2234&PostingSeq=1

	General HR Website: https://careers.cwu.edu",Student Employment On-Campus Jobs,Yes
2216,Student Barista/Espresso (Ongoing Pool of Applicants 2018-2019),6/1/18,6/1/19,1," Job Summary</br><p>(Purpose)</p><ul>	<li>		Assist in the daily operations of running an espresso bar with consistent espresso drinks and exceptional customer service.</li>	<li>		Must be dependable, attentive to detail, ability to follow through with oral and written instructions from managers and supervisors.</li></ul><p>(Educational Benefits)<br />&bull; Will provide customer service experience.<br />&bull; Will enforce academic disciplines such as algebra, geometry, trigonometry, and calculus by providing opportunity to practice arithmetic while making change.<br />&bull; Will enhance a basic understanding of chemistry, especially as involved in preparing coffee beverages.<br />&bull; Handling money provides a firm foundation for accounting and economic studies.</p></br></br>Minimum Qualifications</br><p>(Skills)</p><ul>	<li>Professionalism is expected when dealing with customers.</li>	<li>Must be dependable, attentive to detail, ability to follow through with oral and written instructions from managers and supervisors.</li>	<li>Perform basic math, organizing, and problem-solving.</li>	<li>Work assigned schedule.</li>	<li>Be able to pass a background check.</li>	<li>Able to work weekday evenings and weekends.</li>	<li>Have a Food Handler&rsquo;s Permit.</li>	<li>It is essential to be able to meet the physical demands of standing for prolonged periods of time, using repetitive arm, hand, and finger movements. A percentage of the shift will require some amount of stooping, kneeling, crouching, lifting, walking, carrying or moving and other movements. On occasion it will be necessary to lift up to 35 lbs, sometimes repetitively, and reach shelves overhead and below knees. This position requires sharing a work area and will require a flexible schedule, including occasional weekend and evening work.</li>	<li><span style='font-size: 12px'>Must be eligible for student employment in the quarter in which you are working.</span></li></ul><p><span style='font-size: 12px'><strong>Preferred Qualifications</strong></span></p><ul>	<li>Barista experience.</li>	<li>Cash handling experience.</li>	<li>Qualified for work study through the Financial Aid Office.</li></ul></br></br>

How To Apply:
	Click the grey Apply button at the top of the page and follow the links in the popup tab.
		Please note, if the grey box is not clickable, you may need to upload a resume into the system first.",https://careers.cwu.edu/psc/careers/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=2216&PostingSeq=1,CWU On-Campus Employment,Career Services Representative,Ellensburg,WA,Other (enter below),Yes,11/07/2018,"This is a CWU On-Campus job. All application for these types of positions must be processed through the CWU HR website. You may apply by using thedirect jobpost link below or by using the general HR link below and searching for this post by title in their system.

Job Posting Direct Link: https://careers.cwu.edu/psc/careers/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=2216&PostingSeq=1

	General HR Website: https://careers.cwu.edu",Work Study,Yes
1654,CWU Business Ambassador,9/17/17,11/16/18,1," Job Summary</br><p><span style='font-size:12px;'><span style='font-family:arial,helvetica,sans-serif;'>(Purpose)</span></span></p><ul>	<li><span style='font-size:12px;'><span style='font-family:arial,helvetica,sans-serif;'>As a Student ambassador you will be enforcing recruitment efforts for the College of Business, assist in event planning, collaborate with professional individuals and help manage the College of Business brand. </span></span></li>	<li><span style='font-size:12px;'><span style='font-family:arial,helvetica,sans-serif;'>The ambassador will assist in providing information about events attended, for an up to date webpage and social media. </span></span></li>	<li><span style='font-size:12px;'><span style='font-family:arial,helvetica,sans-serif;'>They will also assist in daily office tasks such as answering emails, phone calls, and promoting events. </span></span></li>	<li><span style='font-size:12px;'><span style='font-family:arial,helvetica,sans-serif;'>On occasion they will be asked to speak publicly to a small or large audience at events or for recruitment. </span></span></li>	<li><span style='font-size:12px;'><span style='font-family:arial,helvetica,sans-serif;'>Students are expected to start work within the quarter they apply. </span></span></li>	<li><span style='font-size:12px;'><span style='font-family:arial,helvetica,sans-serif;'>Ideal candidates for this position would be students who are admitted into their major, self-starters, experienced speakers, team players, and are very organized.</span></span></li></ul><p><span style='font-size:12px;'><span style='font-family:arial,helvetica,sans-serif;'>&nbsp;<br />ADDITIONAL INFORMATION FOR APPLICANTS<br />(Educational Benefits)</span></span></p><p><span style='font-size:12px;'><span style='font-family:arial,helvetica,sans-serif;'>The College of Business is all about launching their students to a better future through engagement and strong partnerships. Within joining the Student Ambassador team, you will be able to do so with these provided opportunities:</span></span></p><ul>	<li><span style='font-size:12px;'><span style='font-family:arial,helvetica,sans-serif;'>Opportunity to network with university staff and faculty along with industry professionals</span></span></li>	<li><span style='font-size:12px;'><span style='font-family:arial,helvetica,sans-serif;'>Ability to add valuable work and leadership experience into your portfolio</span></span></li>	<li><span style='font-size:12px;'><span style='font-family:arial,helvetica,sans-serif;'>Become more knowledgeable about the College of Business programs &amp; opportunities</span></span></li>	<li><span style='font-size:12px;'><span style='font-family:arial,helvetica,sans-serif;'>Apply leadership developmental training into a professional setting</span></span></li>	<li><span style='font-size:12px;'><span style='font-family:arial,helvetica,sans-serif;'>Become familiar with the day-to-day inner working of a university office environment</span></span></li></ul></br></br>Minimum Qualifications</br><p><span style='font-size: 12px'><strong>Preferred Qualifications</strong></span></p><ul>	<li>Held leadership position in CB or CWU club&nbsp;</li>	<li>Current College of Business major</li>	<li>Bilingual public speaker</li>	<li>Familiar with Photoshop and Microsoft 360 (Office, Excel, Outlook, PowerPoint).</li>	<li>Experience in event planning/set up</li></ul><p>&nbsp;</p><p><span style='font-size: 12px'><strong>Desired Knowledge, Skills and Abilities</strong></span></p><ul>	<li>Knowledge of College of Business clubs, majors, and programs.</li>	<li>Familiar with Social media platforms (Twitter, Instagram, Facebook, Linkedin)</li>	<li>Knows other leaders on or off campus, Sociable/friendly attitude</li>	<li>Public speaking skills (small to large crowds)</li>	<li>Ability to think creatively, work well under pressure, &amp; collaborate on a team effectively.</li>	<li>Can adequately communicate through proper phone etiquette and email.</li>	<li>Listen and assess needs effectively</li>	<li>Completed a minimum of 2 terms at CWU</li>	<li>Collegiate GPA of 3.0 or higher</li>	<li>Must be eligible for student employment in the quarter in which you apply to work</li>	<li>Must have a current driver&rsquo;s license and willing to travel within the state</li></ul></br></br>

How To Apply:
	Click the grey Apply button at the top of the page and follow the links in the popup tab.
		Please note, if the grey box is not clickable, you may need to upload a resume into the system first.",https://careers.cwu.edu/psc/careers/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=1654&PostingSeq=1,CWU On-Campus Employment,Career Services Representative,Ellensburg,WA,Other (enter below),Yes,11/07/2018,"This is a CWU On-Campus job. All application for these types of positions must be processed through the CWU HR website. You may apply by using thedirect jobpost link below or by using the general HR link below and searching for this post by title in their system.

Job Posting Direct Link: https://careers.cwu.edu/psc/careers/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=1654&PostingSeq=1

	General HR Website: https://careers.cwu.edu",Student Employment On-Campus Jobs,Yes
